Respondent,WorkWeekHrs,Age,Gender
266,31.0,33.0,Man
267,45.0,23.0,Man
268,42.0,25.0,Man
269,45.0,32.0,Man
270,,18.0,Man
271,9.0,24.0,Man
272,,39.0,Woman
273,40.0,29.0,Man
274,38.0,35.0,Man
275,50.0,34.0,Man
276,48.0,29.0,Man
277,40.0,29.0,Man
278,50.0,31.0,Man
279,38.0,27.0,Man
280,50.0,47.0,Man
281,37.5,40.0,Man
282,,,Man
283,40.0,26.0,Man
284,,19.0,Man
285,37.5,32.0,Man
286,38.0,23.0,Man
287,,,
288,70.0,,Man
289,40.0,37.0,Man
290,,30.0,Man
291,,,Man
292,40.0,27.0,Man
293,40.0,31.0,Man
294,,,
295,,36.0,Woman
296,,22.0,Man
297,,34.0,Man
298,35.0,23.0,Man
299,,25.0,Man
300,,,Man
301,40.0,39.0,Man
302,40.0,33.0,Man
303,40.0,28.0,Man
304,32.0,30.0,Man
305,40.0,28.0,Man
306,50.0,51.0,Man
307,,21.0,Man
308,40.0,36.0,Woman
309,,20.0,Man
310,40.0,32.0,Man
311,48.0,24.0,Man
312,45.0,31.0,Man
313,40.0,23.0,Man
314,12.0,47.0,Man
315,43.0,23.0,Man
316,40.0,22.0,Woman
317,35.0,24.0,Man
318,50.0,21.0,Man
319,45.0,30.0,Man
320,,46.0,Man
321,40.0,32.0,Woman
322,40.0,23.0,Man
323,30.0,48.0,Man
324,45.0,34.0,Man
325,45.0,49.0,Man
326,38.0,34.0,Man
327,,,Woman
328,45.0,31.0,Man
329,,47.0,Man
330,40.0,35.0,Man
331,40.0,29.0,Man
332,40.0,24.0,Man
333,40.0,33.0,Man
334,42.0,30.0,Man
335,40.0,30.0,Man
336,,38.0,Man
337,60.0,31.0,Man
338,40.0,28.0,Man
339,11.0,16.0,Man
340,40.0,35.0,Man
341,39.0,23.0,Man
342,50.0,35.0,Man
343,45.0,24.0,Woman
344,,29.0,Man
345,40.0,33.0,Man
346,,19.0,Man
347,40.0,41.0,Man
348,,39.0,Man
349,40.0,26.0,Man
350,,19.0,Woman
351,45.0,25.0,Man
352,45.0,26.0,Man
353,40.0,30.0,Woman
354,45.0,25.0,Man
355,,35.0,Man
356,60.0,29.0,Man
357,35.0,33.0,Man
358,40.0,24.0,Man
359,40.0,37.0,Man
360,15.0,28.0,Man
361,50.0,25.0,Man
362,45.0,32.0,Man
363,60.0,37.0,Man
364,40.0,40.0,Man
365,,,Man
366,,22.0,Man
367,,42.0,Man
368,8.0,25.0,Man
369,,18.0,Woman
370,,32.0,Man
371,40.0,30.0,Man
372,35.0,25.0,Man
373,40.0,37.0,Man
374,50.0,26.0,Man
375,37.5,57.0,Man
376,,25.0,Man
377,40.0,37.0,Man
378,40.0,32.0,Man
379,,19.0,Man
380,15.0,34.0,Woman
381,,22.0,Man
382,35.0,26.0,Man
383,80.0,38.0,Man
384,38.0,28.0,Man
385,40.0,,Man
386,40.0,27.0,Woman
387,,,Man
