3,269.0,4.89
3,320.0,4.05
3,380.0,5.95
3,252.0,5.25
5,950.0,5.89
3,299.0,5.14
4,579.0,5.17
4,375.0,5.07
5,289.0,2.9
3,309.0,4.75
3,295.068,5.97
3,320.0,5.34
3,499.0,5.54
4,300.0,4.29
3,290.0,5.37
3,345.0,4.11
4,449.0,4.16
3,420.0,5.63
3,329.0,5.61
3,355.0,5.55
3,226.0,5.02
3,600.0,5.66
3,319.024,5.88
4,569.0,5.04
3,329.0,4.7
3,370.496,5.6
3,339.0,5.84
3,329.0,4.7
3,245.0,5.07
3,319.0,4.8
3,273.0,3.46
3,364.0,5.6
5,690.0,5.0
3,275.0,5.19
3,397.0,4.36
4,450.0,3.63
3,359.0,6.19
3,276.36400000000003,5.71
3,333.06,6.1
4,381.457,5.51
3,340.0,5.23
3,355.0,4.49
4,385.0,4.28
4,279.0,4.36
3,322.558,5.71
3,339.0,4.64
3,353.88199999999995,5.9
4,465.0,5.17
3,289.0,4.62
3,326.073,6.15
4,259.0,3.89
4,375.0,3.95
3,415.0,5.43
6,1140.0,5.91
3,276.0,5.21
5,450.0,3.46
3,245.0,5.1
5,900.0,5.83
3,409.0,3.73
4,599.0,4.07
3,363.13300000000004,6.1
3,245.7,4.2
3,308.066,6.05
3,323.357,5.74
3,385.0,4.02
4,469.0,5.1
3,400.0,5.8
3,370.0,5.14
4,334.57300000000004,4.59
3,289.0,4.36
3,409.0,4.4
3,299.0,5.06
3,309.0,5.24
3,315.0,3.99
3,615.0,5.97
3,310.0,4.84
4,324.9,4.39
3,328.842,5.75
3,360.0,3.29
3,311.76599999999996,5.71
3,320.0,4.21
5,420.0,4.62
3,265.0,5.64
4,299.0,4.05
4,355.0,4.8
3,298.0,4.66
5,690.0,5.0
3,263.0,5.98
4,350.0,4.62
3,210.0,4.29
3,344.0,5.55
4,340.0,4.8
3,209.0,4.86
3,365.0,5.53
4,399.0,4.68
3,274.0,3.56
3,265.0,5.64
3,324.0,4.76
3,275.0,4.3
3,335.0,4.72
3,230.0,5.42
3,310.0,4.77
3,325.0,5.33
3,249.99900000000002,4.63
3,279.0,4.36
3,438.691,5.67
3,340.0,5.23
4,399.0,4.64
4,329.999,4.4
3,300.0,4.09
4,390.0,3.0
3,219.99900000000002,4.68
3,379.0,5.12
3,309.0,4.45
3,285.0,5.94
3,350.0,5.47
3,349.566,5.71
3,318.0,4.75
3,320.0,5.16
3,456.19199999999995,5.94
3,289.0,5.35
3,285.0,4.45
3,285.0,6.06
3,329.0,4.7
3,296.56,5.97
3,275.0,5.85
3,402.0,6.0
4,625.0,5.21
3,259.0,4.84
3,374.775,5.7
3,299.0,5.8
4,259.0,3.46
3,436.51800000000003,6.09
3,290.0,4.53
